"Path","Permissions"
"C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\fnp_registrations.xml","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\Adobe PCD\cache","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\Adobe PCD\cache\91056A040B5E","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\Adobe PCD\cache\cache.db","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\Adobe PCD\cache\F6AE6BA3F707","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\SLConfigs","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\bGF1bmNoVVJJUmVnaXN0cnlJbnN0YWxsYXRpb24=.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\cG9zdFNlbGZVcGRhdGU=.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\NEQ5QzI2NDIxOUQ2QkI3M0Y0MUZFMTlBNEZBMzUzQkM5QTkxQUI2MEExRDMwRUVGMjBGM0ExQzgxNzRB.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\NkZDMUFEMDU0OTQ3RkQ4MTY3NTQzMkY4QjgyMjdFMEQ5QzI3QUFFMzA3QTI1MDEyNjA2REIxNzRDQkQ1MTMxRUUxRUUwQThGM0Y0OTlGRDQ=.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\OTcwNzg3MDc4NTE2NDU4MjcyODQ0MjEz.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\QUNDRVNTX0NIRUNL.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\QURPQkVJRFdUVFM=.slc","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0QXBwQU1UTGliUGF0aHNWMg==.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0RGF0YV82NDFmOWY1MmQwNWU1NGZhMDhjZjIxNzc2YTVjNTlmNzBjYWZiNzQ4YjRiY2M4ZjgzMWNmZjAxYWVjMGRkZWUz.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0RGF0YV8xNmNjMmZhZTVlZTBjYzEyNWE5ZjAxM2MzNTI3NDQ1MmZlMTgyY2E4MGIwZjc1OTQ0ZmE3NzVlNTUyNGE4YjZi.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0RGF0YV9hMzliMzI0OTJkZjM1Mzk2YzU0YmE5NDAxZjU3MGFjY2I0MDJmYTkwZTEyNDViMWUzZjc3YzdiZGIzZDRlMjVk.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0RGF0YVVwbG9hZFYy.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\R29DYXJ0SW5zdGFsbGF0aW9uRXZlbnRUaW1lc3RhbXBz.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\RkFfU2V0.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\RkFfU2V0e3x9MQ==.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\TXVsdGlVc2Vy.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\Vjd7fUFjcm9iYXRDb250LTEyLVdpbi1HTQ==.slc","System.Object[]"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\Vjd7fUFjcm9iYXRDb250LTEyLVdpbi1HTXt8fWVuX01Y.slc","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\Vjd7fUFjcm9iYXRDb250LTEyLVdpbi1HTXt8fWVuX0dC.slc","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\Vjd7fUFjcm9iYXRDb250LTEyLVdpbi1HTXt8fWVuX1hN.slc","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
"C:\Program Files (x86)\Common Files\Adobe\SLCache\Vjd7fUFjcm9iYXRDb250LTEyLVdpbi1HTXt8fWVzX01Y.slc","@{Identity=Everyone; Permissions=FullControl; AccessType=Allow}"
